DATE,BERK,vwretd,riskfree
19800430,0.00000,0.05229,0.012556
19800530,0.00000,0.06009,0.008095
19800630,0.02102,0.03771,0.006112
19800731,0.01695,0.06944,0.005281
19800829,0.05000,0.02355,0.006388
19800930,0.00476,0.02949,0.007534
19801031,0.27419,0.02008,0.009505
19801128,-0.17722,0.10492,0.00957
19801231,-0.07231,-0.03441,0.013068
19810130,0.07627,-0.04011,0.01037
19810227,0.00000,0.01552,0.010691
19810331,0.01449,0.04618,0.012077
19810430,-0.03175,-0.01126,0.010756
19810529,0.00000,0.01355,0.011544
19810630,0.02328,-0.01023,0.013475
19810731,0.00000,-0.00307,0.012398
19810831,-0.01639,-0.05628,0.012804
19810930,0.02667,-0.06377,0.012441
19811030,0.00000,0.06018,0.012054
19811130,0.00000,0.04584,0.010676
19811231,0.02667,-0.02810,0.008738
19820129,0.00000,-0.02621,0.007958
19820226,0.00000,-0.05113,0.009237
19820331,0.02667,-0.01009,0.009802
19820430,0.00000,0.04327,0.011292
19820528,-0.00833,-0.02821,0.010586
19820630,0.01143,-0.02391,0.009573
19820730,0.00427,-0.02053,0.010507
19820831,0.00000,0.11901,0.007623
19820930,0.02434,0.01676,0.005118
19821029,0.02564,0.11864,0.005901
19821130,0.06667,0.05193,0.006342
19821231,0.07438,0.01452,0.006738
19830131,0.00746,0.04184,0.006864
19830228,0.00000,0.03021,0.006186
19830331,0.11496,0.03469,0.006326
19830429,-0.00680,0.07419,0.00714
19830531,0.00685,0.01322,0.006907
19830630,0.02395,0.03784,0.006661
19830729,0.00000,-0.03156,0.007402
19830831,-0.00680,0.00347,0.007616
19830930,0.01041,0.01606,0.007607
19831031,0.02083,-0.02805,0.007611
19831130,-0.00680,0.02955,0.007035
19831230,0.03315,-0.01047,0.007269
19840131,0.00680,-0.01302,0.0076
19840229,-0.01351,-0.03907,0.007137
19840330,0.02630,0.01339,0.00728
19840430,0.01370,0.00254,0.008139
19840531,0.00000,-0.05234,0.007837
19840629,0.02595,0.02338,0.007534
19840731,0.00000,-0.02062,0.008185
19840831,0.00676,0.11268,0.008306
19840928,0.06040,0.00041,0.008589
19841031,0.02597,-0.00008,0.009957
19841130,0.01266,-0.01068,0.007334
19841231,0.03750,0.02366,0.006426
19850131,0.04938,0.08572,0.006474
19850228,-0.03529,0.01690,0.005781
19850329,0.02439,-0.00174,0.00616
19850430,0.12195,-0.00219,0.007162
19850531,0.02174,0.05578,0.006634
19850628,0.00128,0.01708,0.005546
19850731,0.02174,-0.00025,0.006246
19850830,0.00000,-0.00480,0.005502
19850930,0.02255,-0.03982,0.006049
19851031,0.00000,0.04444,0.006488
19851129,0.02128,0.06923,0.006082
19851231,-0.04042,0.04313,0.006504
19860131,0.06667,0.00983,0.00559
19860228,0.04167,0.07255,0.005296
19860331,0.13120,0.05396,0.005954
19860430,0.04505,-0.00790,0.005208
19860530,0.01724,0.05080,0.004934
19860630,0.12034,0.01424,0.005246
19860731,0.01538,-0.05970,0.0052
19860829,0.15152,0.06618,0.0046
19860930,0.01447,-0.07902,0.0045
19861031,-0.07237,0.04931,0.004645
19861128,0.04965,0.01508,0.003904
19861231,0.01541,-0.02639,0.004874
19870130,-0.02703,0.12848,0.004151
19870227,0.02778,0.04790,0.004314
19870331,-0.02514,0.02364,0.004706
19870430,0.05634,-0.01701,0.004441
19870529,-0.04667,0.00513,0.00376
19870630,0.03804,0.04369,0.004819
19870731,0.02055,0.04423,0.004573
19870831,-0.00671,0.03712,0.004711
19870930,-0.07811,-0.02079,0.004521
19871030,-0.10448,-0.22534,0.005973
19871130,0.01667,-0.07229,0.003452
19871231,0.02000,0.07032,0.003914
19880129,0.09836,0.04488,0.002942
19880229,-0.10448,0.05169,0.004556
19880331,0.08700,-0.01660,0.004407
19880429,0.03125,0.01100,0.004616
19880531,-0.07576,0.00044,0.005053
19880630,0.11934,0.05146,0.004853
19880729,-0.05970,-0.00727,0.005072
19880831,0.06349,-0.02801,0.005938
19880930,-0.02567,0.03721,0.006167
19881031,0.01563,0.01764,0.006101
19881130,0.00000,-0.01642,0.005662
19881230,0.12738,0.02107,0.006341
19890131,0.00000,0.06610,0.005514
19890228,-0.02778,-0.01645,0.006131
19890331,-0.05314,0.02146,0.006706
19890428,0.00000,0.04821,0.006748
19890531,0.06154,0.03934,0.007873
19890630,0.01855,-0.00487,0.007093
19890731,-0.04348,0.07713,0.006955
19890831,0.01515,0.02213,0.007392
19890929,0.04896,-0.00148,0.006545
19891031,-0.04348,-0.02928,0.006765
19891130,0.00000,0.01782,0.006866
19891229,0.04970,0.01830,0.00607
19900131,-0.02206,-0.07012,0.00567
19900228,-0.03759,0.01490,0.005679
19900330,-0.02688,0.02414,0.006441
19900430,-0.06557,-0.02828,0.006873
19900531,-0.07018,0.08894,0.006771
19900629,0.08075,-0.00420,0.006251
19900731,0.03571,-0.00940,0.006771
19900831,-0.03448,-0.09190,0.006571
19900928,0.09429,-0.05384,0.005984
19901031,0.08333,-0.01250,0.006818
19901130,0.04615,0.06574,0.005651
19901231,-0.08412,0.02952,0.005989
19910131,0.02459,0.04908,0.005177
19910228,-0.07200,0.07585,0.004767
19910328,0.16000,0.02892,0.004391
19910430,-0.06061,0.00332,0.005335
19910531,-0.04839,0.04073,0.004722
19910628,-0.10034,-0.04403,0.004171
19910731,0.01923,0.04680,0.004884
19910830,0.05660,0.02682,0.00461
19910930,0.05500,-0.01097,0.004558
19911031,-0.01724,0.01779,0.004246
