NonWhite Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
NonWhite Male 66	0.0333800000	0.0339498287	0.0109731265	0.0024709555	0.0013363035	0.0001847669	0.0004684299	0.0013300321	0.0011428531	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0062695310	0.0006369758	0.0004304029	0.0008973811	0.0030421839	0.0000000000	0.0015717048	0.0000167422	0.0004448270	0.0027336125
NonWhite Male 67	0.0357800000	0.0364357946	0.0117766304	0.0026518905	0.0014341540	0.0001982964	0.0005027305	0.0014274233	0.0012265382	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0067286155	0.0006836181	0.0004619191	0.0009630916	0.0032649469	0.0000000000	0.0016867925	0.0000179681	0.0004773993	0.0029337805
NonWhite Male 68	0.0382800000	0.0390319310	0.0126157431	0.0028408439	0.0015363408	0.0002124255	0.0005385512	0.0015291306	0.0013139319	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0072080452	0.0007323275	0.0004948319	0.0010317141	0.0034975820	0.0000000000	0.0018069804	0.0000192484	0.0005114151	0.0031428192
NonWhite Male 69	0.0408900000	0.0417495079	0.0134941073	0.0030386361	0.0016433077	0.0002272155	0.0005760476	0.0016355954	0.0014054137	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0077099014	0.0007833154	0.0005292843	0.0011035467	0.0037410993	0.0000000000	0.0019327904	0.0000205886	0.0005470221	0.0033616363
NonWhite Male 70	0.0437100000	0.0446940647	0.0144458350	0.0032529485	0.0017592088	0.0002432408	0.0006166757	0.0017509526	0.0015045363	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0082536741	0.0008385620	0.0005666143	0.0011813789	0.0040049558	0.0000000000	0.0020691085	0.0000220407	0.0005856031	0.0035987296
NonWhite Male 71	0.0467000000	0.0478256295	0.0154580068	0.0034808718	0.0018824707	0.0002602839	0.0006598841	0.0018736360	0.0016099542	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0088319817	0.0008973172	0.0006063150	0.0012641542	0.0042855697	0.0000000000	0.0022140840	0.0000235850	0.0006266344	0.0038508807
NonWhite Male 72	0.0497800000	0.0510617423	0.0165039701	0.0037164044	0.0020098478	0.0002778959	0.0007045351	0.0020004153	0.0017188915	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0094295962	0.0009580341	0.0006473412	0.0013496929	0.0045755521	0.0000000000	0.0023638996	0.0000251808	0.0006690355	0.0041114498
NonWhite Male 73	0.0528500000	0.0542978034	0.0175499167	0.0039519332	0.0021372228	0.0002955077	0.0007491853	0.0021271925	0.0018278270	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0100272011	0.0010187499	0.0006883668	0.0014352303	0.0048655297	0.0000000000	0.0025137129	0.0000267767	0.0007114359	0.0043720148
NonWhite Male 74	0.0560300000	0.0576608930	0.0186369209	0.0041967075	0.0022695978	0.0003138108	0.0007955882	0.0022589462	0.0019410387	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0106482645	0.0010818491	0.0007310028	0.0015241254	0.0051668902	0.0000000000	0.0026694068	0.0000284352	0.0007555008	0.0046428081
NonWhite Male 75	0.0593800000	0.0612160467	0.0197860033	0.0044554607	0.0024095326	0.0003331592	0.0008446412	0.0023982244	0.0020607158	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0113047964	0.0011485518	0.0007760736	0.0016180973	0.0054854612	0.0000000000	0.0028339924	0.0000301884	0.0008020821	0.0049290661
