White Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
White Male 51	0.0059700000	0.0059878917	0.0018900865	0.0001907273	0.0001864467	0.0001393281	0.0001694853	0.0000816207	0.0001672646	0.0001263577	0.0001804282	0.0002074313	0.0000000000	0.0007891721	0.0000849308	0.0000471685	0.0001857394	0.0006083503	0.0000000000	0.0002135923	0.0000022258	0.0000861351	0.0006314010
White Male 52	0.0065300000	0.0065514137	0.0020679631	0.0002086767	0.0002039933	0.0001524404	0.0001854356	0.0000893021	0.0001830059	0.0001382492	0.0001974083	0.0002269527	0.0000000000	0.0008634413	0.0000929236	0.0000516076	0.0002032193	0.0006656023	0.0000000000	0.0002336935	0.0000024353	0.0000942413	0.0006908223
White Male 53	0.0072400000	0.0072663360	0.0022936293	0.0002314485	0.0002262540	0.0001690754	0.0002056713	0.0000990472	0.0002029764	0.0001533356	0.0002189505	0.0002517188	0.0000000000	0.0009576642	0.0001030639	0.0000572392	0.0002253956	0.0007382361	0.0000000000	0.0002591953	0.0000027010	0.0001045254	0.0007662082
White Male 54	0.0080400000	0.0080724951	0.0025480945	0.0002571265	0.0002513556	0.0001878333	0.0002284894	0.0001100359	0.0002254955	0.0001703474	0.0002432418	0.0002796456	0.0000000000	0.0010639117	0.0001144983	0.0000635896	0.0002504020	0.0008201392	0.0000000000	0.0002879515	0.0000030007	0.0001161219	0.0008512147
White Male 55	0.0089400000	0.0089802016	0.0028346134	0.0002860389	0.0002796192	0.0002089541	0.0002541817	0.0001224088	0.0002508512	0.0001895020	0.0002705930	0.0003110902	0.0000000000	0.0011835426	0.0001273729	0.0000707399	0.0002785583	0.0009123593	0.0000000000	0.0003203300	0.0000033381	0.0001291792	0.0009469290
White Male 56	0.0098900000	0.0099392309	0.0031373324	0.0003165860	0.0003094807	0.0002312691	0.0002813267	0.0001354813	0.0002776405	0.0002097396	0.0002994906	0.0003443127	0.0000000000	0.0013099375	0.0001409756	0.0000782945	0.0003083066	0.0010097935	0.0000000000	0.0003545393	0.0000036946	0.0001429747	0.0010480551
White Male 57	0.0109300000	0.0109901713	0.0034690632	0.0003500608	0.0003422042	0.0002557228	0.0003110732	0.0001498066	0.0003069973	0.0002319167	0.0003311577	0.0003807191	0.0000000000	0.0014484458	0.0001558818	0.0000865730	0.0003409059	0.0011165657	0.0000000000	0.0003920270	0.0000040852	0.0001580923	0.0011588728
White Male 58	0.0120900000	0.0121636785	0.0038394824	0.0003874395	0.0003787440	0.0002830283	0.0003442890	0.0001658027	0.0003397778	0.0002566803	0.0003665180	0.0004213715	0.0000000000	0.0016031078	0.0001725266	0.0000958171	0.0003773071	0.0012357902	0.0000000000	0.0004338869	0.0000045214	0.0001749731	0.0012826148
White Male 59	0.0133400000	0.0134297771	0.0042391282	0.0004277675	0.0004181669	0.0003124883	0.0003801255	0.0001830608	0.0003751447	0.0002833978	0.0004046683	0.0004652314	0.0000000000	0.0017699728	0.0001904846	0.0001057906	0.0004165804	0.0013644217	0.0000000000	0.0004790495	0.0000049921	0.0001931858	0.0014161202
White Male 60	0.0146800000	0.0147888175	0.0046681113	0.0004710559	0.0004604837	0.0003441108	0.0004185927	0.0002015858	0.0004131079	0.0003120765	0.0004456192	0.0005123110	0.0000000000	0.0019490871	0.0002097609	0.0001164962	0.0004587367	0.0015024957	0.0000000000	0.0005275274	0.0000054972	0.0002127354	0.0015594260
