# http://www.arrs.net/SA_Mara.htm
#  World Single Age Records- Marathon  (20 Jan 2011)
# marathon        <- read.csv("/home/foster/public_html_gosset/teaching/471/marathons.csv",skip=7)
# marathon$time   <- 60 * marathon$timeH + marathon$timeM + marathon$timeS/60
# marathon$age    <-  marathon$ageYears + marathon$ageDays / 395
# marathon$color  <- c("blue","pink")[(marathon$sex == "men") + 2 * (marathon$sex == "wmn")]
# plot(marathon$age, marathon$time, col = marathon$col,log="y")
sex,ageYears,ageDays,timeH,timeM,timeS,name,country,Bdate,Rdate,location
wmn,17,319,2,23,37,Min Liu,CHN,29 Nov 1983,14 OCt 2001,Beijing CHN
wmn,18,1,2,22,38,Ying-ying Zhang,CHN,04 Jan 1990,05 Jan 2008,Xiawoman CHN
wmn,19,312,2,24,02,Ya-nan Wei,CHN,06 Dec 1981,14 Oct 2001,Beijing CHN
wmn,20,21,2,23,27,Xue Bae,CHN,15 Dec 1987,05 Jan 2008,Xiawoman CHN
wmn,21,92,2,22,38,Aselefech Mergia,ETH,23 Jan 1989,25 Apr 2010,London ENG
wmn,22,73,2,21,51,Naoko Sakamoto,JPN,14 Nov 1980,26 Jan 2003,Osaka JPN
wmn,23,274,2,21,21,Ying-jie Sun,CHN,19 Jan 1979,20 Oct 2002,Beijing CHN
wmn,24,273,2,19,39,Ying-Jie Sun,CHN,19 Jan 1979,19 Oct 2003,Beijing CHN
wmn,25,196,2,19,41,Yoko Shibui,JPN,14 Mar 1979,26 Sep 2004,Berlin GER 
wmn,26,140,2,20,43,Tegla Loroupe,KEN,09 May 1973,26 Sep 1999,Berlin GER
wmn,27,84,2,19,12,Mizuki Noguchi,JPN,03 Jul 1978,25 Sep 2005,Berlin GER
wmn,28,300,2,17,17.7,Paula Radcliffe,ENG,17 Dec 1973,13 Oct 2002,Chicago IL USA
wmn,29,117,2,15,24.6,Paula Radcliffe,ENG,17 Dec 1973,13 Apr 2003,London ENG
wmn,30,84,2,19,26,Catherine Ndereba,KEN,21 Jul 1972,13 Oct 2002,Chicago IL USA
wmn,31,121,2,17,42,Paul Radcliffe,ENG,17 Dec 1973,17 Apr 2005,London ENG
wmn,32,331,2,20,25,Liliya Shobukhova,RUS,13 Nov 1977,10 Oct 2010,Chicago IL USA
wmn,33,68,2,19,36,Deena Kastor,USA,14 Feb 1973,23 Apr 2006,London ENG
wmn,34,181,2,22,42,Birhane Adere,ETH,21 Jul 1973,18 Jan 2008,Dubai UAE
wmn,35,259,2,21,30,Constantina Tomescu,ROM,23 Jan 1970,09 Oct 2005,Chicago IL USA
wmn,36,36,2,19,18.4,Irina Mikitenko,GER,23 Aug 1972,28 Sep 2008,Berlin GER
wmn,37,198,2,21,29,Lyudmila Petrova,RUS,07 Oct 1968,23 Apr 2006,London ENG
wmn,38,22,2,24,14,Irina Timofeyeva,RUS,05 Apr 1970,27 Apr 2008,Hamburg GER
wmn,39,189,2,26,45,Lyudmila Petrova,RUS,07 Oct 1968,13 Apr 2008,London ENG
wmn,40,201,2,27,42,Lyudmila Petrova,RUS,07 Oct 1968,26 Apr 2009,London ENG
wmn,41,361,2,28,06,Irina Bogacheva,KGZ,30 Apr 1961,26 Apr 2003,Nashville TN USA
wmn,42,169,2,26,51,Priscilla Welch,ENG,22 Nov 1944,10 May 1987,London ENG
wmn,43,221,2,29,25,Tatyana Pozdniakova,UKR,04 Mar 1956,11 Oct 1998,Chicago IL USA
wmn,44,195,2,29,43,Joyce Smith,ENG,26 Oct 1937,09 May 1982,London ENG
wmn,45,171,2,32,37,Colleen deReuck,USA,16 Apr 1964,04 Oct 2009,Saint Paul MN USA
wmn,46,364,2,30,26,Tatyana Pozdniakova,UKR,04 Mar 1955,03 Mar 2002,Los Angeles CA USA
wmn,47,223,2,28,59.5,Tatyana Pozdniakova,UKR,04 Mar 1955,13 Oct 2002,Providence RI USA
wmn,48,225,2,37,46,Ramilya Burangulova,RUS,11 Jul 1961,21 Feb 2010,Jacksonville Beach FL USA
wmn,49,3,2,30,17,Tatyana Pozdniakova,UKR,04 Mar 1955,07 Mar 2004,Los Angeles CA USA
wmn,50,2,2,31,05,Tatyana Pozdniakova,UKR,04 Mar 1955,06 Mar 2005,Los Angeles CA USA
wmn,51,15,2,35,46,Tatyana Pozdniakova,UKR,04 Mar 1955,19 Mar 2006,Los Angeles CA USA
wmn,52,108,2,48,47,Edeltraud Pohl,GER,14 Jul 1936,30 Oct 1988,Frankfurt GER
