 DATE INDUCLOS
31JAN1898 50.01
01FEB1898 49.76
02FEB1898 49.54
03FEB1898 49.54
04FEB1898 49.82
05FEB1898 50.23
07FEB1898 50.11
08FEB1898 49.62
09FEB1898 49.86
10FEB1898 50.16
11FEB1898 50.14
14FEB1898 49.49
15FEB1898 50.04
16FEB1898 48.97
17FEB1898 49.20
18FEB1898 48.59
19FEB1898 47.79
21FEB1898 47.11
23FEB1898 46.16
24FEB1898 44.67
25FEB1898 45.31
26FEB1898 45.17
28FEB1898 46.17
01MAR1898 47.47
02MAR1898 46.58
03MAR1898 46.55
04MAR1898 46.16
05MAR1898 45.73
07MAR1898 44.86
08MAR1898 45.30
09MAR1898 45.51
10MAR1898 45.38
11MAR1898 44.44
12MAR1898 43.29
14MAR1898 44.73
15MAR1898 44.41
16MAR1898 45.53
17MAR1898 44.55
18MAR1898 44.86
19MAR1898 44.84
21MAR1898 44.50
22MAR1898 43.45
23MAR1898 43.22
24MAR1898 42.73
25MAR1898 42.00
26MAR1898 42.95
28MAR1898 45.34
29MAR1898 44.49
30MAR1898 46.15
31MAR1898 45.42
01APR1898 44.14
02APR1898 44.60
04APR1898 45.58
05APR1898 45.06
06APR1898 46.02
07APR1898 45.98
08APR1898 45.48
09APR1898 45.54
11APR1898 45.95
12APR1898 46.32
13APR1898 45.19
14APR1898 46.06
15APR1898 45.37
16APR1898 44.53
18APR1898 44.92
19APR1898 44.48
20APR1898 44.56
21APR1898 43.27
22APR1898 43.87
23APR1898 44.55
25APR1898 44.02
26APR1898 44.36
27APR1898 44.40
28APR1898 45.01
29APR1898 45.75
30APR1898 46.00
02MAY1898 48.60
03MAY1898 48.30
05MAY1898 49.43
06MAY1898 49.16
07MAY1898 50.40
09MAY1898 51.05
10MAY1898 50.46
11MAY1898 51.63
12MAY1898 51.09
13MAY1898 50.82
14MAY1898 50.68
16MAY1898 50.33
17MAY1898 51.26
18MAY1898 50.55
19MAY1898 51.04
20MAY1898 50.74
21MAY1898 51.40
23MAY1898 51.73
24MAY1898 52.29
25MAY1898 51.87
26MAY1898 51.90
27MAY1898 52.08
28MAY1898 52.14
31MAY1898 52.74
01JUN1898 52.87
02JUN1898 53.36
03JUN1898 52.77
04JUN1898 53.13
06JUN1898 53.33
07JUN1898 53.30
08JUN1898 53.15
09JUN1898 53.12
10JUN1898 53.71
11JUN1898 53.26
13JUN1898 52.61
14JUN1898 52.20
15JUN1898 50.87
16JUN1898 51.77
17JUN1898 52.13
18JUN1898 51.53
20JUN1898 51.90
21JUN1898 51.73
22JUN1898 51.38
23JUN1898 51.74
24JUN1898 52.01
25JUN1898 52.36
27JUN1898 52.66
28JUN1898 52.44
29JUN1898 52.79
30JUN1898 52.62
01JUL1898 53.00
05JUL1898 52.99
06JUL1898 52.78
07JUL1898 53.09
08JUL1898 53.25
09JUL1898 53.48
11JUL1898 53.35
12JUL1898 53.16
13JUL1898 52.61
14JUL1898 53.15
15JUL1898 52.53
16JUL1898 52.37
18JUL1898 52.27
19JUL1898 52.32
20JUL1898 52.64
21JUL1898 53.13
22JUL1898 53.01
23JUL1898 53.21
25JUL1898 53.67
26JUL1898 54.17
27JUL1898 53.78
28JUL1898 53.85
29JUL1898 54.02
30JUL1898 54.20
01AUG1898 54.60
02AUG1898 55.26
03AUG1898 55.46
04AUG1898 55.26
05AUG1898 55.85
06AUG1898 55.93
08AUG1898 56.31
09AUG1898 56.30
10AUG1898 56.61
11AUG1898 56.55
12AUG1898 56.21
13AUG1898 56.83
15AUG1898 57.50
16AUG1898 58.45
17AUG1898 58.89
18AUG1898 58.08
19AUG1898 59.09
22AUG1898 59.39
23AUG1898 59.63
24AUG1898 59.72
25AUG1898 60.52
26AUG1898 60.97
27AUG1898 60.68
29AUG1898 59.57
30AUG1898 59.92
31AUG1898 60.35
01SEP1898 60.50
02SEP1898 60.38
06SEP1898 60.16
07SEP1898 58.92
08SEP1898 58.54
09SEP1898 57.77
10SEP1898 58.38
12SEP1898 58.08
13SEP1898 57.55
14SEP1898 57.42
15SEP1898 58.38
16SEP1898 58.04
17SEP1898 58.16
19SEP1898 57.61
20SEP1898 57.23
21SEP1898 58.33
22SEP1898 57.73
23SEP1898 57.63
24SEP1898 57.53
26SEP1898 56.55
27SEP1898 55.22
28SEP1898 54.52
29SEP1898 54.88
30SEP1898 53.44
01OCT1898 52.52
03OCT1898 53.62
04OCT1898 53.80
05OCT1898 53.76
06OCT1898 53.36
07OCT1898 53.08
08OCT1898 53.27
10OCT1898 52.51
11OCT1898 51.85
12OCT1898 51.81
13OCT1898 52.87
14OCT1898 52.28
15OCT1898 51.90
17OCT1898 52.18
18OCT1898 51.76
19OCT1898 51.56
20OCT1898 51.80
21OCT1898 52.21
22OCT1898 53.01
24OCT1898 52.85
25OCT1898 53.64
26OCT1898 54.23
27OCT1898 54.24
28OCT1898 54.89
29OCT1898 54.75
31OCT1898 55.43
01NOV1898 54.94
02NOV1898 54.51
03NOV1898 54.95
04NOV1898 54.75
05NOV1898 54.93
07NOV1898 55.57
09NOV1898 55.30
10NOV1898 56.02
11NOV1898 56.40
12NOV1898 57.14
14NOV1898 57.08
15NOV1898 56.90
16NOV1898 56.77
17NOV1898 56.79
18NOV1898 56.58
19NOV1898 56.82
21NOV1898 56.75
22NOV1898 56.97
23NOV1898 56.71
25NOV1898 56.27
26NOV1898 56.50
28NOV1898 56.79
29NOV1898 56.89
30NOV1898 57.20
01DEC1898 58.16
02DEC1898 58.14
03DEC1898 58.45
05DEC1898 58.30
06DEC1898 58.30
07DEC1898 58.52
08DEC1898 59.04
09DEC1898 59.75
10DEC1898 60.11
12DEC1898 60.28
13DEC1898 59.53
14DEC1898 59.38
15DEC1898 58.97
16DEC1898 58.81
17DEC1898 58.74
19DEC1898 58.78
20DEC1898 59.11
21DEC1898 59.19
22DEC1898 59.43
23DEC1898 60.09
27DEC1898 60.42
28DEC1898 59.00
29DEC1898 60.16
30DEC1898 60.52
03JAN1899 60.41
04JAN1899 60.69
05JAN1899 60.91
06JAN1899 60.86
07JAN1899 61.35
09JAN1899 61.98
10JAN1899 61.45
11JAN1899 61.31
12JAN1899 61.23
13JAN1899 61.71
14JAN1899 61.43
16JAN1899 61.28
17JAN1899 61.41
18JAN1899 61.93
19JAN1899 62.30
20JAN1899 62.40
21JAN1899 62.18
23JAN1899 62.37
24JAN1899 61.80
25JAN1899 63.05
26JAN1899 63.83
27JAN1899 64.64
28JAN1899 64.87
30JAN1899 65.02
31JAN1899 64.35
01FEB1899 64.44
02FEB1899 63.93
03FEB1899 63.61
04FEB1899 63.39
06FEB1899 63.05
07FEB1899 61.95
08FEB1899 62.23
09FEB1899 62.10
10FEB1899 62.11
14FEB1899 62.55
15FEB1899 62.50
16FEB1899 62.70
17FEB1899 63.13
18FEB1899 64.76
20FEB1899 66.76
21FEB1899 66.89
23FEB1899 67.32
24FEB1899 67.35
25FEB1899 67.52
27FEB1899 66.98
28FEB1899 66.78
01MAR1899 66.64
02MAR1899 65.90
03MAR1899 67.02
04MAR1899 66.73
06MAR1899 65.95
07MAR1899 66.40
08MAR1899 67.29
09MAR1899 67.66
10MAR1899 68.14
11MAR1899 68.16
13MAR1899 68.89
14MAR1899 68.98
15MAR1899 68.90
16MAR1899 70.71
17MAR1899 71.26
18MAR1899 72.02
20MAR1899 71.19
21MAR1899 71.28
22MAR1899 71.83
23MAR1899 71.56
24MAR1899 71.98
25MAR1899 72.40
27MAR1899 73.73
28MAR1899 74.70
29MAR1899 74.17
30MAR1899 74.33
01APR1899 75.15
03APR1899 76.02
04APR1899 76.04
05APR1899 75.87
06APR1899 74.17
07APR1899 73.08
08APR1899 73.14
10APR1899 72.60
11APR1899 74.49
12APR1899 75.10
13APR1899 75.33
14APR1899 76.04
15APR1899 76.30
17APR1899 75.96
18APR1899 76.36
19APR1899 76.29
20APR1899 76.05
21APR1899 76.71
22APR1899 77.01
24APR1899 76.53
25APR1899 77.28
26APR1899 77.14
27APR1899 77.03
28APR1899 77.10
29APR1899 76.71
01MAY1899 74.59
02MAY1899 76.04
03MAY1899 76.00
04MAY1899 75.39
05MAY1899 74.48
06MAY1899 73.83
08MAY1899 72.18
09MAY1899 69.98
10MAY1899 72.47
11MAY1899 71.88
12MAY1899 72.18
13MAY1899 69.36
15MAY1899 69.77
16MAY1899 70.96
17MAY1899 72.75
18MAY1899 71.84
19MAY1899 71.81
20MAY1899 71.77
22MAY1899 71.71
23MAY1899 71.01
24MAY1899 70.27
25MAY1899 70.76
26MAY1899 70.29
27MAY1899 69.51
31MAY1899 67.51
01JUN1899 68.40
02JUN1899 70.11
03JUN1899 70.13
05JUN1899 69.73
06JUN1899 70.09
07JUN1899 70.71
08JUN1899 71.03
09JUN1899 72.29
10JUN1899 72.42
12JUN1899 73.08
13JUN1899 71.88
14JUN1899 71.92
15JUN1899 71.71
16JUN1899 71.62
17JUN1899 71.30
19JUN1899 70.43
20JUN1899 70.30
21JUN1899 69.39
22JUN1899 68.84
23JUN1899 69.82
24JUN1899 69.96
26JUN1899 69.85
27JUN1899 70.44
28JUN1899 70.54
29JUN1899 70.18
30JUN1899 70.38
01JUL1899 70.67
05JUL1899 71.48
06JUL1899 71.92
07JUL1899 72.15
08JUL1899 71.69
10JUL1899 70.55
11JUL1899 71.35
12JUL1899 71.55
13JUL1899 71.67
14JUL1899 71.02
15JUL1899 71.14
17JUL1899 70.90
18JUL1899 71.37
19JUL1899 71.07
20JUL1899 71.57
21JUL1899 72.08
22JUL1899 71.69
24JUL1899 71.75
25JUL1899 72.19
26JUL1899 71.99
27JUL1899 72.48
28JUL1899 72.95
29JUL1899 73.00
31JUL1899 73.73
01AUG1899 73.89
02AUG1899 74.29
03AUG1899 74.61
04AUG1899 74.68
05AUG1899 74.08
07AUG1899 73.68
08AUG1899 74.23
09AUG1899 74.59
10AUG1899 75.37
11AUG1899 75.19
12AUG1899 75.79
14AUG1899 76.23
15AUG1899 75.63
16AUG1899 75.15
17AUG1899 75.62
18AUG1899 75.64
19AUG1899 76.06
21AUG1899 75.73
22AUG1899 75.10
23AUG1899 76.00
24AUG1899 75.61
25AUG1899 75.59
26AUG1899 75.61
28AUG1899 75.64
29AUG1899 75.26
30AUG1899 76.04
31AUG1899 75.66
01SEP1899 75.57
02SEP1899 75.76
05SEP1899 77.61
06SEP1899 76.97
07SEP1899 76.61
08SEP1899 76.56
09SEP1899 77.01
11SEP1899 75.59
12SEP1899 74.68
13SEP1899 76.11
14SEP1899 75.65
15SEP1899 74.55
16SEP1899 73.54
18SEP1899 72.39
19SEP1899 73.10
20SEP1899 72.55
21SEP1899 73.10
22SEP1899 74.22
23SEP1899 73.86
25SEP1899 72.76
26SEP1899 72.40
27SEP1899 72.64
28SEP1899 72.87
02OCT1899 70.95
03OCT1899 70.97
04OCT1899 71.73
05OCT1899 72.03
06OCT1899 72.30
07OCT1899 72.68
09OCT1899 72.67
10OCT1899 73.47
11OCT1899 73.00
12OCT1899 72.45
13OCT1899 71.81
14OCT1899 71.85
16OCT1899 72.47
17OCT1899 72.22
18OCT1899 72.93
19OCT1899 72.86
20OCT1899 73.11
21OCT1899 73.39
23OCT1899 74.61
24OCT1899 74.31
25OCT1899 74.41
26OCT1899 74.52
27OCT1899 74.42
28OCT1899 74.83
30OCT1899 74.37
31OCT1899 74.97
01NOV1899 75.17
02NOV1899 75.72
03NOV1899 75.34
04NOV1899 74.93
06NOV1899 75.13
08NOV1899 75.13
09NOV1899 74.38
10NOV1899 73.67
11NOV1899 73.06
13NOV1899 74.08
14NOV1899 74.16
15NOV1899 74.67
16NOV1899 75.48
17NOV1899 75.80
18NOV1899 75.93
20NOV1899 75.63
21NOV1899 75.05
22NOV1899 75.20
23NOV1899 75.50
24NOV1899 75.80
27NOV1899 75.69
28NOV1899 75.48
29NOV1899 75.55
01DEC1899 75.47
02DEC1899 75.68
04DEC1899 74.26
05DEC1899 73.57
06DEC1899 73.53
07DEC1899 73.03
08DEC1899 70.27
09DEC1899 69.26
11DEC1899 67.43
12DEC1899 67.54
13DEC1899 64.03
14DEC1899 65.26
15DEC1899 66.21
16DEC1899 63.84
18DEC1899 58.27
19DEC1899 61.02
20DEC1899 61.19
21DEC1899 59.97
22DEC1899 58.69
23DEC1899 60.57
26DEC1899 62.00
27DEC1899 64.47
28DEC1899 64.39
29DEC1899 65.73
30DEC1899 66.08
02JAN1900 68.13
03JAN1900 66.61
04JAN1900 67.15
05JAN1900 66.71
06JAN1900 66.02
08JAN1900 66.41
09JAN1900 64.99
10JAN1900 64.14
11JAN1900 63.27
12JAN1900 64.93
13JAN1900 64.80
15JAN1900 64.22
16JAN1900 64.29
17JAN1900 64.56
18JAN1900 64.28
19JAN1900 65.29
20JAN1900 64.83
22JAN1900 65.37
23JAN1900 64.38
24JAN1900 64.72
25JAN1900 65.05
26JAN1900 64.23
27JAN1900 64.27
29JAN1900 64.45
30JAN1900 66.06
31JAN1900 66.13
01FEB1900 67.34
02FEB1900 67.86
03FEB1900 67.88
05FEB1900 68.36
06FEB1900 68.03
07FEB1900 67.94
08FEB1900 67.46
09FEB1900 66.86
10FEB1900 66.66
13FEB1900 67.39
14FEB1900 66.90
15FEB1900 67.08
16FEB1900 66.40
17FEB1900 65.81
19FEB1900 66.25
20FEB1900 66.16
21FEB1900 65.59
23FEB1900 64.52
24FEB1900 64.12
26FEB1900 63.56
27FEB1900 63.35
28FEB1900 63.96
01MAR1900 63.59
02MAR1900 61.95
03MAR1900 62.76
05MAR1900 62.12
06MAR1900 61.87
07MAR1900 61.83
08MAR1900 61.39
09MAR1900 61.11
10MAR1900 61.68
12MAR1900 63.31
13MAR1900 62.88
14MAR1900 62.03
15MAR1900 61.81
16MAR1900 61.91
17MAR1900 62.50
19MAR1900 62.91
20MAR1900 63.45
21MAR1900 64.08
22MAR1900 64.06
23MAR1900 63.67
24MAR1900 64.26
26MAR1900 64.06
27MAR1900 64.71
28MAR1900 65.12
29MAR1900 64.07
30MAR1900 65.39
31MAR1900 66.02
02APR1900 65.55
03APR1900 65.17
04APR1900 65.11
05APR1900 65.47
06APR1900 66.15
07APR1900 66.15
09APR1900 65.46
10APR1900 64.55
11APR1900 64.78
12APR1900 64.40
16APR1900 61.55
17APR1900 61.80
18APR1900 61.82
19APR1900 62.38
20APR1900 62.20
21APR1900 60.47
23APR1900 61.19
24APR1900 61.69
25APR1900 61.89
26APR1900 63.05
27APR1900 62.25
28APR1900 61.79
30APR1900 61.33
01MAY1900 61.32
02MAY1900 61.05
03MAY1900 61.02
04MAY1900 61.18
05MAY1900 61.36
07MAY1900 60.62
08MAY1900 59.26
09MAY1900 59.94
10MAY1900 60.10
11MAY1900 58.62
12MAY1900 58.12
14MAY1900 57.55
15MAY1900 56.62
16MAY1900 57.12
17MAY1900 56.76
18MAY1900 57.76
19MAY1900 58.18
21MAY1900 57.40
22MAY1900 58.10
23MAY1900 58.35
24MAY1900 57.51
25MAY1900 57.26
26MAY1900 57.55
28MAY1900 57.67
29MAY1900 58.01
31MAY1900 59.10
01JUN1900 59.38
02JUN1900 58.80
04JUN1900 57.97
05JUN1900 57.48
06JUN1900 56.98
07JUN1900 57.56
08JUN1900 56.62
09JUN1900 56.41
11JUN1900 56.03
12JUN1900 56.15
13JUN1900 57.12
14JUN1900 56.51
15JUN1900 56.17
16JUN1900 55.42
18JUN1900 54.96
19JUN1900 55.08
20JUN1900 54.39
21JUN1900 54.65
22JUN1900 54.11
23JUN1900 53.68
25JUN1900 53.68
26JUN1900 54.00
27JUN1900 54.11
28JUN1900 54.75
29JUN1900 54.83
30JUN1900 54.93
02JUL1900 55.48
03JUL1900 55.67
05JUL1900 56.51
06JUL1900 56.13
07JUL1900 56.03
09JUL1900 55.76
10JUL1900 56.91
11JUL1900 56.77
12JUL1900 56.71
13JUL1900 55.98
14JUL1900 55.88
16JUL1900 56.22
17JUL1900 56.75
18JUL1900 56.61
19JUL1900 57.27
20JUL1900 58.35
21JUL1900 58.41
23JUL1900 59.02
24JUL1900 58.35
25JUL1900 58.18
26JUL1900 57.93
27JUL1900 58.03
28JUL1900 57.70
30JUL1900 57.13
31JUL1900 56.80
01AUG1900 57.06
02AUG1900 57.21
03AUG1900 57.29
04AUG1900 57.70
06AUG1900 57.57
07AUG1900 57.71
08AUG1900 57.88
09AUG1900 57.74
10AUG1900 58.00
11AUG1900 58.09
13AUG1900 58.50
14AUG1900 58.77
15AUG1900 58.90
16AUG1900 58.86
17AUG1900 58.84
18AUG1900 58.69
20AUG1900 58.80
21AUG1900 58.55
22AUG1900 58.65
23AUG1900 58.42
24AUG1900 58.30
25AUG1900 58.17
27AUG1900 58.22
28AUG1900 57.79
29AUG1900 58.43
30AUG1900 58.39
